,Make,Model,Price (£),Mileage,Registration Year,Registration Month,Gearbox,Fuel Type,N of Owners
297,Vauxhall,Corsa,9800,17475,2019,3,Manual,Petrol,2
298,Nissan,Note,9800,18662,2017,3,Manual,Petrol,2
299,Vauxhall,Astra,9800,47801,2017,9,Manual,Petrol,4
300,Peugeot,308,9850,55198,2016,4,Manual,Diesel,2
301,Ford,EcoSport,9850,26814,2016,4,Manual,Petrol,2
302,Hyundai,i10,9850,29741,2017,1,Manual,Petrol,2
303,Ford,Fiesta,9950,84145,2019,11,Manual,Petrol,1
304,Renault,Captur,9850,30640,2016,3,Manual,Petrol,2
305,Vauxhall,Astra,9850,42116,2017,5,Manual,Petrol,4
306,Nissan,Micra,9850,28500,2017,8,Manual,Petrol,3
307,Fiat,500,9850,18840,2019,3,Manual,Petrol,1
308,Vauxhall,ADAM,9850,13980,2017,3,Manual,Petrol,3
309,Peugeot,208,9850,40895,2019,12,Manual,Diesel,1
310,Vauxhall,Astra,9850,28614,2017,12,Manual,Petrol,2
311,Peugeot,208,9850,29261,2019,12,Manual,Petrol,2
312,Ford,EcoSport,9850,24782,2018,3,Manual,Petrol,3
313,Peugeot,308,9850,43447,2015,9,Manual,Diesel,5
314,Ford,EcoSport,9900,54961,2017,4,Manual,Petrol,2
315,Citroen,C3 Picasso,9900,24717,2016,4,Manual,Diesel,2
316,Vauxhall,ADAM,9900,34615,2018,7,Manual,Petrol,1
317,Vauxhall,Astra,9900,54531,2016,3,Manual,Petrol,3
318,Renault,Clio,9900,42532,2018,3,Manual,Petrol,3
319,Citroen,C3,9900,35956,2019,4,Manual,Diesel,1
320,Ford,Fiesta,9900,32812,2016,11,Manual,Petrol,2
321,Vauxhall,ADAM,9900,18387,2018,9,Manual,Petrol,3
322,Vauxhall,Corsa,9900,16243,2018,3,Manual,Petrol,1
323,MG,MG3,9900,9765,2019,9,Manual,Petrol,2
324,Vauxhall,Astra,9900,31108,2018,12,Manual,Petrol,2
325,Vauxhall,Corsa,9900,35387,2019,5,Manual,Petrol,3
326,Kia,Sportage,9950,53875,2015,9,Manual,Petrol,2
327,Suzuki,SX4 S-Cross,9950,47511,2016,3,Manual,Petrol,2
328,Seat,Ibiza,9950,37365,2018,1,Manual,Petrol,1
329,Fiat,500,9950,18771,2019,12,Manual,Petrol,2
330,Vauxhall,Mokka X,9950,31821,2016,11,Manual,Petrol,2
331,Hyundai,i10,9950,16750,2019,11,Manual,Petrol,1
332,Fiat,500,9950,7348,2019,4,Manual,Petrol,2
333,Citroen,C3,9950,41059,2018,11,Manual,Petrol,2
334,DS,DS 5,9950,61902,2016,12,Manual,Diesel,4
335,Nissan,Micra,9950,29591,2017,7,Manual,Petrol,4
336,Renault,Clio,9950,21795,2017,5,Manual,Petrol,5
337,Toyota,AYGO,10000,26650,2017,3,Manual,Petrol,1
338,Vauxhall,Zafira Tourer,10000,45002,2016,3,Manual,Petrol,2
339,Fiat,500,10050,33146,2019,5,Manual,Petrol,2
340,Honda,Jazz,10050,14430,2015,3,Manual,Petrol,1
341,Nissan,Micra,10050,20590,2017,9,Manual,Diesel,2
342,Suzuki,Vitara,10050,56561,2016,3,Manual,Diesel,1
343,Nissan,Juke,10050,36372,2017,6,Manual,Petrol,2
344,Fiat,500,10050,13773,2019,11,Manual,Petrol,2
345,Vauxhall,Corsa,10050,17265,2019,2,Manual,Petrol,1
346,Hyundai,i10,10050,11045,2019,5,Manual,Petrol,1
347,Peugeot,308,10050,48016,2018,12,Manual,Diesel,1
348,Kia,Soul,10050,25242,2018,10,Manual,Petrol,1
349,Ssangyong,Korando,10050,37550,2017,6,Manual,Diesel,1
350,Vauxhall,Astra,10050,44181,2019,5,Manual,Petrol,1
351,Vauxhall,Corsa,10050,17120,2019,6,Manual,Petrol,2
352,Fiat,500,10050,10254,2019,10,Manual,Petrol,2
353,Vauxhall,Mokka X,10050,35889,2017,3,Manual,Petrol,3
354,Peugeot,308,10050,79901,2020,3,Manual,Diesel,2
355,Peugeot,308,10050,31122,2016,9,Manual,Diesel,4
356,Volkswagen,up!,10100,22790,2019,3,Manual,Petrol,3
357,Vauxhall,Astra,10100,39849,2017,6,Manual,Petrol,3
358,Renault,Captur,10100,63747,2016,4,Manual,Petrol,2
359,Peugeot,2008,10100,25118,2016,1,Manual,Diesel,2
360,Vauxhall,Corsa,10100,23958,2019,3,Manual,Petrol,1
361,Hyundai,i10,10100,9049,2019,10,Manual,Petrol,1
362,Renault,Captur,10100,24864,2016,9,Manual,Petrol,4
363,Fiat,500,10100,22989,2020,1,Manual,Petrol,2
364,Mazda,Mazda2,10100,23390,2019,3,Manual,Petrol,1
365,Renault,Captur,10150,53528,2018,6,Manual,Petrol,2
366,Renault,Captur,10150,47925,2018,6,Manual,Petrol,2
367,Peugeot,208,10150,14912,2016,9,Manual,Diesel,1
368,Volkswagen,up!,10150,20655,2018,12,Manual,Petrol,2
369,Vauxhall,Astra,10150,48000,2017,9,Manual,Petrol,2
370,Vauxhall,Corsa,10150,15857,2017,5,Manual,Petrol,2
371,Skoda,Fabia,10150,36337,2018,4,Manual,Petrol,2
372,Ford,Fiesta,10150,25294,2016,12,Manual,Petrol,2
373,Fiat,500X,10150,28999,2016,6,Manual,Petrol,3
374,Vauxhall,Corsa,10150,33788,2019,5,Manual,Petrol,2
375,Vauxhall,Astra,10150,57978,2018,11,Manual,Diesel,1
376,Skoda,Octavia,10150,76039,2017,11,Manual,Diesel,1
377,Vauxhall,Mokka,10150,24397,2016,3,Manual,Petrol,1
378,Ford,Focus,10150,37450,2017,3,Manual,Petrol,2
379,Citroen,C3,10150,27647,2019,1,Manual,Petrol,1
380,Vauxhall,Corsa,10150,11228,2019,7,Manual,Petrol,1
381,Vauxhall,Astra,10150,54632,2018,1,Manual,Diesel,2
382,Toyota,AYGO,10200,14308,2018,3,Manual,Petrol,1
383,Fiat,500,10200,3439,2017,7,Manual,Petrol,1
384,Ford,Fiesta,10200,87357,2020,2,Manual,Diesel,1
385,Nissan,Juke,10200,45438,2017,10,Manual,Petrol,2
386,Kia,Sportage,10200,60730,2015,9,Manual,Petrol,2
387,Volkswagen,Jetta,10300,35997,2015,9,Manual,Petrol,3
388,Vauxhall,Corsa,10200,18739,2019,1,Manual,Petrol,1
389,Renault,Megane,10200,59315,2018,1,Manual,Diesel,1
390,Volkswagen,up!,10200,11955,2018,9,Manual,Petrol,2
391,Volkswagen,up!,10200,8395,2018,9,Manual,Petrol,2
392,Fiat,500,10200,10493,2019,7,Manual,Petrol,1
393,Peugeot,108,10200,3011,2020,6,Manual,Petrol,3
394,Ssangyong,Tivoli,10200,17029,2016,10,Manual,Diesel,1
395,Vauxhall,Corsa,10200,31046,2015,12,Automatic,Petrol,3
396,Nissan,Juke,10200,31973,2017,10,Manual,Petrol,1
397,Ford,EcoSport,10200,17032,2017,5,Manual,Diesel,2
398,Fiat,500X,10200,20698,2016,7,Manual,Diesel,3
399,Peugeot,208,10250,24128,2019,11,Manual,Petrol,2
400,DS,DS 3,10250,26108,2016,6,Manual,Diesel,2
401,Ford,Fiesta,10250,19925,2017,1,Manual,Petrol,2
402,Vauxhall,Astra,10250,40098,2018,1,Manual,Petrol,2
403,Citroen,C4 Cactus,10250,24691,2016,1,Manual,Diesel,2
404,Vauxhall,Corsa,10250,45589,2015,9,Manual,Petrol,2
405,Fiat,Tipo,10250,17348,2019,3,Manual,Petrol,1
406,Vauxhall,Astra,10250,42567,2017,9,Manual,Petrol,2
407,Nissan,Pulsar,10250,25285,2016,11,Manual,Petrol,1
408,Vauxhall,Corsa,10250,5742,2018,6,Manual,Petrol,2
